model,metric,value
SVM,accuracy,0.86695652173913
SVM,sensitivity,0.739514348785872
SVM,specificity,0.949784791965567
SVM,precision,0.905405405405405
SVM,neg_pred_value,0.848717948717949
RF,accuracy,0.880869565217391
RF,sensitivity,0.772626931567329
RF,specificity,0.951219512195122
RF,precision,0.911458333333333
RF,neg_pred_value,0.865535248041775
